topic,term,beta,k
10,comedy,0.029806666813533708,25
10,funny,0.0228088840739536,25
10,jokes,0.011145912841320093,25
10,humor,0.00985002714880526,25
10,laughs,0.008748524310167647,25
10,movie,0.007711815756155783,25
10,bob,0.007387844333027075,25
10,hilarious,0.007128667194524108,25
10,smith,0.007063872909898364,25
10,ben,0.006675107202143916,25
10,comic,0.006156752925137979,25
10,big,0.0060919586405122385,25
10,american,0.00499045580187463,25
10,gags,0.00499045580187463,25
10,kevin,0.004860867232623144,25
11,political,0.012887633746821345,25
11,world,0.012166748066674714,25
11,truman,0.010995308836436448,25
11,american,0.01063486599636313,25
11,show,0.00820187682586826,25
11,black,0.006850216175593332,25
11,war,0.006850216175593332,25
11,life,0.006669994755556678,25
11,white,0.006129330495446708,25
11,america,0.005858998365391718,25
11,president,0.005768887655373393,25
11,country,0.005678776945355062,25
11,people,0.00540844481530008,25
11,government,0.005048001975226764,25
11,history,0.004867780555190106,25
12,romantic,0.015357151536709362,25
12,comedy,0.0130373401263303,25
12,wedding,0.011490799186077595,25
12,julia,0.011269864766041502,25
12,love,0.010275659875879042,25
12,school,0.00994425824582489,25
12,ryan,0.00972332382578879,25
12,high,0.008729118935626336,25
12,roberts,0.007403512415409736,25
12,death,0.007293045205391684,25
12,gets,0.007072110785355585,25
12,together,0.006740709155301432,25
12,tom,0.006298840315229234,25
12,meg,0.006298840315229234,25
12,two,0.0060779058951931295,25
13,horror,0.025099128555676285,25
13,scream,0.021974588417430503,25
13,star_wars,0.013205717706869763,25
13,movie,0.011996218298516553,25
13,original,0.010988302124888877,25
13,lucas,0.00987959433389844,25
13,movies,0.009678011099172908,25
13,killer,0.008871678160270765,25
13,sequel,0.008871678160270765,25
13,effects,0.008367720073456932,25
13,scary,0.00826692845609416,25
13,still,0.00806534522136863,25
13,first,0.00806534522136863,25
13,films,0.007964553604005858,25
13,blair,0.0077629703692803295,25
13,phantom,0.0077629703692803295,25
14,series,0.022512863778999775,25
14,movie,0.01817769522431163,25
14,star_trek,0.0168437972074845,25
14,television,0.012675365904899738,25
14,x-files,0.010507781627555664,25
14,nbsp,0.009674095367038714,25
14,murphy,0.00950735811493532,25
14,first,0.008006722846004805,25
14,fans,0.007506511089694638,25
14,disaster,0.005839138568660733,25
14,duchovny,0.005839138568660733,25
14,volcano,0.005505664064453953,25
14,show,0.005338926812350564,25
14,betty,0.005338926812350564,25
14,mulder,0.005338926812350564,25
15,disney,0.020419383175671234,25
15,animated,0.01524033759409429,25
15,story,0.014045173229115002,25
15,animation,0.013248396985795477,25
15,voice,0.011754441529571356,25
15,family,0.011256456377496645,25
15,tarzan,0.01115685934708171,25
15,kids,0.009264515769197828,25
15,toy,0.009164918738782885,25
15,mulan,0.007969754373803595,25
15,little,0.007372172191313942,25
15,disney's,0.006674992978409354,25
15,children,0.006276604856749593,25
15,original,0.005878216735089826,25
15,shrek,0.005878216735089826,25
16,sex,0.018830233994530713,25
16,women,0.008268220048080125,25
16,characters,0.007923806549826303,25
16,drug,0.0074645885521545385,25
16,writer,0.00700537055448277,25
16,porn,0.006546152556811008,25
16,party,0.006431348057393065,25
16,picture,0.005857325560303359,25
16,sexual,0.0055129120620495365,25
16,sarah,0.0055129120620495365,25
16,lynch,0.005283303063213656,25
16,director,0.005053694064377774,25
16,girls,0.0049388895649598325,25
16,blonde,0.0048240850655418875,25
16,real,0.004709280566123948,25
17,case,0.01249553373993998,25
17,murder,0.011496090929306913,25
17,lawyer,0.0096221356593699,25
17,flynt,0.00762325003810376,25
17,performance,0.007248458984116357,25
17,courtroom,0.007123528632787221,25
17,carter,0.006373946524812415,25
17,prison,0.006124085822154147,25
17,mystery,0.0059991554708250135,25
17,kevin,0.00587422511949588,25
17,washington,0.00587422511949588,25
17,action,0.0056243644168376145,25
17,derek,0.00549943406550848,25
17,white,0.005249573362850212,25
17,character,0.0049997126601919436,25
17,larry,0.0049997126601919436,25
18,good,0.011416802342062556,25
18,jones,0.008030143769927977,25
18,nick,0.007904711970960028,25
18,movie,0.007277552976120293,25
18,big,0.00715212117715235,25
18,hunting,0.006775825780248504,25
18,prison,0.006524962182312614,25
18,dude,0.006148666785408771,25
18,fugitive,0.005897803187472876,25
18,lebowski,0.005897803187472876,25
18,williams,0.00564693958953698,25
18,killer,0.00564693958953698,25
18,carry,0.005521507790569032,25
18,jackal,0.005521507790569032,25
18,role,0.005396075991601085,25
19,film,0.02140656084000736,25
19,one,0.012757944227438254,25
19,like,0.007014397102632969,25
19,movie,0.006390098502110659,25
19,just,0.005307980927871979,25
19,can,0.005271910342064026,25
19,time,0.0052691356816172595,25
19,even,0.005255262379383431,25
19,story,0.005216417133128707,25
19,much,0.004919528465324763,25
19,two,0.004678133006456136,25
19,character,0.004642062420648179,25
19,also,0.004511653379650184,25
19,characters,0.004350723073737766,25
19,way,0.003920650704489063,25
20,music,0.015351864890353022,25
20,love,0.013973119989411241,25
20,musical,0.008550056712373591,25
20,mr,0.008550056712373591,25
20,nights,0.007906642425267429,25
20,king,0.007722809771808525,25
20,song,0.006435981197596204,25
20,shakespeare,0.006435981197596204,25
20,rock,0.006252148544137303,25
20,boogie,0.00616023221740785,25
20,queen,0.005976399563948943,25
20,band,0.005608734257031139,25
20,english,0.0051491526233838816,25
20,performance,0.005057236296654428,25
20,production,0.004965319969924977,25
21,alien,0.018485921168862152,25
21,science,0.01407990577574887,25
21,world,0.01397244198567293,25
21,dark,0.011393311023850517,25
21,aliens,0.011178383443698646,25
21,computer,0.011178383443698646,25
21,city,0.009136571432255904,25
21,effects,0.008921643852104037,25
21,fiction,0.008706716271952164,25
21,matrix,0.00795446974142063,25
21,virus,0.0077395421612687625,25
21,human,0.007524614581116892,25
21,reality,0.007202223210889093,25
21,ripley,0.0066649042605094215,25
21,films,0.006557440470433488,25
21,real,0.006557440470433488,25
22,movie,0.04123656130416429,25
22,film,0.01721135496623729,25
22,just,0.016694286728372598,25
22,good,0.015530883193177067,25
22,like,0.014127412261830063,25
22,one,0.01392427831124036,25
22,really,0.013573410578403607,25
22,get,0.011357403844697815,25
22,bad,0.009898532745008164,25
22,see,0.009676932071637586,25
22,even,0.009473798121047892,25
22,well,0.009418397952705245,25
22,know,0.008439661645318522,25
22,people,0.007239324664561213,25
22,think,0.007110057605095041,25
23,batman,0.02582142578592503,25
23,robin,0.018022015851628322,25
23,mr,0.013718893129257743,25
23,arnold,0.011836276938220602,25
23,evil,0.011701804353146522,25
23,dr,0.009281297821813063,25
23,comic,0.009281297821813063,25
23,series,0.009146825236738982,25
23,carrey,0.00820551714122042,25
23,austin,0.00820551714122042,25
23,powers,0.008071044556146335,25
23,schwarzenegger,0.007533154215850015,25
23,action,0.007398681630775932,25
23,flubber,0.005650538024812881,25
23,funny,0.005381592854664718,25
23,vegas,0.005381592854664718,25
24,movie,0.021730185695715727,25
24,bad,0.018983920375650554,25
24,like,0.011949626748816935,25
24,one,0.00742069797537612,25
24,even,0.005252593775324663,25
24,get,0.005011693308652278,25
24,around,0.005011693308652278,25
24,kill,0.00467443265531094,25
24,guy,0.004385352095304078,25
24,action,0.004337172001969601,25
24,girl,0.004192631721966172,25
24,head,0.003999911348628266,25
24,movies,0.003999911348628266,25
24,night,0.003951731255293787,25
24,video,0.003855371068624835,25
24,looks,0.003855371068624835,25
24,worst,0.003855371068624835,25
25,house,0.010736859537588208,25
25,spawn,0.009663480263621948,25
25,football,0.008436761093374795,25
25,wrestling,0.008130081300813012,25
25,team,0.006903362130565853,25
25,special,0.006290002545442279,25
25,baseball,0.006136662649161387,25
25,fight,0.005983322752880492,25
25,league,0.005983322752880492,25
25,blues,0.005983322752880492,25
25,game,0.00552330306403781,25
25,cast,0.005369963167756913,25
25,king,0.005369963167756913,25
25,john,0.0052166232714760214,25
25,rocky,0.0052166232714760214,25
