topic,term,beta,k
6,effects,0.013761786748339888,20
6,planet,0.011208316369305587,20
6,space,0.010995527171052727,20
6,science,0.010286229843543196,20
6,mars,0.010144370378041287,20
6,earth,0.009789721714286525,20
6,crew,0.009151354119527947,20
6,sci-fi,0.008725775723022234,20
6,action,0.008654845990271278,20
6,special,0.008654845990271278,20
6,series,0.008300197326516514,20
6,star_trek,0.007874618930010797,20
7,crime,0.01181093125071365,20
7,police,0.008604414357062077,20
7,cop,0.008291583440608265,20
7,plot,0.008056960253267909,20
7,jackie,0.007900544795041006,20
7,action,0.007274882962133382,20
7,tarantino,0.006649221129225757,20
7,de,0.006649221129225757,20
7,robert,0.006571013400112307,20
7,pulp,0.0063363902127719475,20
7,l,0.006101767025431591,20
7,brown,0.005945351567204683,20
7,fiction,0.005710728379864325,20
7,willis,0.00563252065075087,20
7,murder,0.005476105192523968,20
7,thriller,0.005476105192523968,20
8,disney,0.02075917075626275,20
8,animated,0.014241220320763385,20
8,animation,0.012937630233663514,20
8,story,0.012837354073117362,20
8,tarzan,0.01123293550437906,20
8,voice,0.011132659343832913,20
8,toy,0.009026859972363889,20
8,kids,0.008224650687994736,20
8,mulan,0.007923822206356304,20
8,family,0.0077232698852640145,20
8,original,0.007622993724717872,20
8,children,0.007522717564171731,20
8,king,0.007221889082533294,20
8,disney's,0.0067205082798025735,20
8,dog,0.006519955958710287,20
9,school,0.021598417352080086,20
9,high,0.017116149813680287,20
9,truman,0.012124533691371437,20
9,life,0.011411445673898736,20
9,town,0.01029087878929879,20
9,show,0.008864702754353401,20
9,jim,0.007947875303317082,20
9,teacher,0.007031047852280759,20
9,football,0.006419829551589881,20
9,carrey,0.006317959834808067,20
9,american,0.006216090118026255,20
9,comedy,0.005299262666989932,20
9,sweet,0.005197392950208122,20
9,parents,0.004789914083080868,20
9,father,0.0046880443662990524,20
10,horror,0.0286862660220471,20
10,scream,0.019472448076658967,20
10,killer,0.014517847860742705,20
10,vampire,0.009737093266437541,20
10,scary,0.009302479212409797,20
10,original,0.008867865158382053,20
10,summer,0.008172482671937664,20
10,know,0.00799863705032657,20
10,sequel,0.007911714239521021,20
10,blair,0.007390177374687729,20
10,vampires,0.007042486131465537,20
10,slasher,0.006781717699048888,20
10,julie,0.006520949266632243,20
10,genre,0.006086335212604506,20
10,witch,0.006086335212604506,20
10,last,0.006086335212604506,20
10,house,0.006086335212604506,20
11,star_wars,0.019674912947008086,20
11,effects,0.016998418191599557,20
11,lucas,0.012448377107405055,20
11,phantom,0.011645428680782496,20
11,menace,0.011110129729700796,20
11,special,0.010708655516389515,20
11,jedi,0.01044100604084866,20
11,impact,0.008165985498751414,20
11,young,0.0069615628588175806,20
11,armageddon,0.006827738121047152,20
11,deep,0.006426263907735874,20
11,characters,0.006158614432195018,20
11,williams,0.0060247896944245925,20
11,trilogy,0.0060247896944245925,20
11,jar,0.0060247896944245925,20
12,comedy,0.01426944129283267,20
12,john,0.0123445047591225,20
12,funny,0.011212189151057693,20
12,brothers,0.00747554764444384,20
12,jeff,0.0072490845228308795,20
12,big,0.0071358529620243975,20
12,crystal,0.007022621401217917,20
12,dude,0.0066829267187984796,20
12,nbsp,0.006569695157991996,20
12,money,0.006456463597185519,20
12,stiller,0.006343232036379036,20
12,cast,0.0061167689147660735,20
12,men,0.006003537353959597,20
12,cusack,0.005890305793153116,20
12,billy,0.0055506111107336735,20
13,batman,0.021482828367272534,20
13,robin,0.012658404219003636,20
13,arnold,0.010103965649767897,20
13,action,0.009291189741374703,20
13,kevin,0.008710635521093853,20
13,mr,0.008246192144869182,20
13,comic,0.008246192144869182,20
13,spawn,0.008130081300813012,20
13,tim,0.00801397045675684,20
13,apes,0.007665637924588326,20
13,devil,0.00754952708053216,20
13,book,0.006852862016195141,20
13,schwarzenegger,0.006620640328082802,20
13,burton,0.006272307795914294,20
13,series,0.006040086107801953,20
14,white,0.010000562414466136,20
14,political,0.010000562414466136,20
14,black,0.00937565745209583,20
14,american,0.00760509339204663,20
14,flynt,0.0065635851214294475,20
14,god,0.005834529331997425,20
14,larry,0.005834529331997425,20
14,look,0.005522076850812275,20
14,derek,0.005313775196688838,20
14,lawyer,0.005209624369627118,20
14,life,0.0051054735425654025,20
14,people,0.004793021061380251,20
14,history,0.004793021061380251,20
14,bulworth,0.004793021061380251,20
14,courtroom,0.004688870234318529,20
15,world,0.01611591015115287,20
15,city,0.014763715200699539,20
15,dark,0.011721276562179563,20
15,game,0.010031032874112902,20
15,computer,0.009242252486348466,20
15,reality,0.00867883792365958,20
15,reeves,0.008566155011121806,20
15,angels,0.008340789186046247,20
15,matrix,0.008002740448432915,20
15,human,0.006763228410517373,20
15,death,0.006650545497979596,20
15,keanu,0.006425179672904042,20
15,annie,0.006425179672904042,20
15,effects,0.0054110334600640485,20
15,joe,0.0049603018099129426,20
16,war,0.021731631597102445,20
16,men,0.013145957971228122,20
16,action,0.011094513830532483,20
16,army,0.007751419675324773,20
16,battle,0.006611728486049421,20
16,ryan,0.006535749073431065,20
16,soldiers,0.006459769660812705,20
16,jones,0.006079872597720919,20
16,private,0.005851934359865849,20
16,gibson,0.0053960578841557106,20
16,world,0.004940181408445567,20
16,hero,0.004788222583208855,20
16,violence,0.004484304932735426,20
16,spielberg,0.004484304932735426,20
16,american,0.00440832552011707,20
17,film,0.021266336957774853,20
17,one,0.011537701700520073,20
17,like,0.0059912750948191195,20
17,story,0.005409168965587856,20
17,movie,0.005310658697564105,20
17,also,0.004659893896679922,20
17,can,0.004576309426841586,20
17,even,0.004567353947930338,20
17,character,0.004507650755188669,20
17,two,0.004501680435914505,20
17,much,0.004465858520269502,20
17,time,0.004415110806439086,20
17,characters,0.00398226265906199,20
17,just,0.003976292339787826,20
17,way,0.0036180731833378166,20
18,movie,0.031840703381109906,20
18,one,0.014552839584228627,20
18,just,0.013588506410974598,20
18,like,0.013553439750129006,20
18,film,0.013194006476461595,20
18,good,0.01099357350840013,20
18,get,0.010038007000357502,20
18,bad,0.009582140409364689,20
18,even,0.008994773840200877,20
18,really,0.008933407183721074,20
18,time,0.006995974172001622,20
18,see,0.006934607515521817,20
18,well,0.006014107668324792,20
18,know,0.005943974346633591,20
18,plot,0.005777407707616985,20
19,comedy,0.02496770681979242,20
19,funny,0.024812637527078976,20
19,jokes,0.013415044512640478,20
19,humor,0.010856401182868562,20
19,murphy,0.009615846841160972,20
19,laughs,0.008452827145810108,20
19,eddie,0.00728980745045924,20
19,make,0.006747064925962167,20
19,gags,0.006669530279605443,20
19,laugh,0.006436926340535266,20
19,hilarious,0.006281857047821819,20
19,comic,0.00612678775510837,20
19,work,0.005816649169681474,20
19,dr,0.005661579876968023,20
19,kevin,0.005584045230611297,20
20,film,0.022467004026806,20
20,music,0.011076353219862764,20
20,original,0.00991619434137781,20
20,girls,0.00991619434137781,20
20,musical,0.00854509748498649,20
20,spice,0.007490407595454711,20
20,dvd,0.007384938606501532,20
20,world,0.007068531639641994,20
20,band,0.006752124672782459,20
20,version,0.00643571770592293,20
20,songs,0.0063302487169697485,20
20,rock,0.0063302487169697485,20
20,fans,0.006119310739063395,20
20,vegas,0.006119310739063395,20
20,video,0.006013841750110214,20
