feature,chi2,p,n_target,n_reference
delightful,19.137979249285145,1.2160091981350263e-5,46,10
masterpiece,19.088805924566444,1.2477459485404907e-5,69,22
aliens,19.00602105709512,1.3030662129320802e-5,150,72
breathtaking,18.89014194037961,1.3846636777059551e-5,37,6
altman,18.754708175056788,1.486558955043904e-5,27,2
larry,18.746580759106145,1.4929079367287379e-5,63,19
argento,18.648777510288205,1.571480031503647e-5,21,0
camille,18.648777510288205,1.571480031503647e-5,21,0
coens,18.648777510288205,1.571480031503647e-5,21,0
giles,18.648777510288205,1.571480031503647e-5,21,0
rounders,18.648777510288205,1.571480031503647e-5,21,0
pleasantville,18.585467252206683,1.6245429766303943e-5,24,1
view,18.45741923357055,1.737431046566762e-5,102,42
italian,18.44648996672534,1.7474238991121993e-5,43,9
pain,18.437905487924937,1.7553133300762802e-5,68,22
harris,18.344182606333973,1.84381112390275e-5,47,11
flawless,18.32647685780576,1.8610264525320552e-5,34,5
rico,18.218074254487792,1.9700044172399345e-5,29,3
intelligent,18.048101570196383,2.1539331600983758e-5,125,57
often,17.986006043291184,2.2253489939338955e-5,232,130
spacey,17.90040522943324,2.3277154095668884e-5,38,7
frequency,17.886410451741057,2.344895537320646e-5,26,2
gladiator,17.886410451741057,2.344895537320646e-5,26,2
obi-wan,17.812197879724206,2.4381517326199642e-5,31,4
stuart,17.79468015981369,2.4607029290635296e-5,56,16
mature,17.769713298716876,2.4932063828808637e-5,40,8
normal,17.66136380789711,2.6393362713039714e-5,79,29
images,17.611325467599745,2.7096982130325742e-5,89,35
love,17.332468508087196,3.1377957597111816e-5,647,445
kung,17.277907957201528,3.229194861542606e-5,35,6
private,17.080351711195693,3.583109477134361e-5,109,48
margaret,17.019579994154906,3.699633538334357e-5,25,2
personal,17.002742692412642,3.7325861829362594e-5,129,61
october,16.995501644437887,3.746848366881217e-5,39,8
refreshing,16.995501644437887,3.746848366881217e-5,39,8
epic,16.984416562591072,3.768788066993434e-5,71,25
emperor,16.978093143065024,3.781361235521974e-5,30,4
contrast,16.962081884490356,3.813386086848336e-5,51,14
greatest,16.956846809309663,3.823916033529606e-5,96,40
satisfying,16.911592136266844,3.9161694216471865e-5,49,13
fei-hong,16.872655498372513,3.9973320397734824e-5,19,0
benigni,16.823297946843798,4.102651974491334e-5,22,1
throughout,16.494256810574417,4.879766294418886e-5,194,106
antz,16.477942303795277,4.921937438762125e-5,34,6
voice,16.378125811488633,5.188051831006568e-5,159,82
robocop,16.327536449690182,5.3284022626165495e-5,36,7
deserves,16.267987294620532,5.498510699242232e-5,80,31
dillon,16.226243638195402,5.621001948996618e-5,38,8
journey,16.206484408338444,5.6799360461989856e-5,68,24
well,16.162892205272726,5.812161802498661e-5,962,700
friendship,16.159789015957035,5.821691720664379e-5,46,12
niro,16.159789015957035,5.821691720664379e-5,46,12
hamlet,16.15438581088954,5.8383225219893475e-5,24,2
vader,16.15438581088954,5.8383225219893475e-5,24,2
iron,16.14726192524258,5.860322542383667e-5,29,4
carver,15.984598279089184,6.385990156521082e-5,18,0
commodus,15.984598279089184,6.385990156521082e-5,18,0
dalai,15.984598279089184,6.385990156521082e-5,18,0
dolores,15.984598279089184,6.385990156521082e-5,18,0
farquaad,15.984598279089184,6.385990156521082e-5,18,0
lama,15.984598279089184,6.385990156521082e-5,18,0
story,15.96165183936563,6.463867854200611e-5,1214,905
elliot,15.943169046879886,6.527290497582161e-5,21,1
mamet,15.943169046879886,6.527290497582161e-5,21,1
nello,15.943169046879886,6.527290497582161e-5,21,1
redford,15.943169046879886,6.527290497582161e-5,21,1
shall,15.682497887883912,7.4914190658526e-5,33,6
fu,15.548366534870013,8.042110293160487e-5,35,7
moving,15.46831849148511,8.389980626533067e-5,112,52
colors,15.40027240013393,8.697575503313626e-5,41,10
fairy,15.40027240013393,8.697575503313626e-5,41,10
seen,15.346683895205624,8.947784039370354e-5,537,366
fascinating,15.3406742521333,8.97629137319722e-5,70,26
legal,15.320010881960824,9.075009273373791e-5,28,4
marvelous,15.320010881960824,9.075009273373791e-5,28,4
ghost,15.197100727830618,9.68520055468769e-5,54,17
works,15.19349952483015,9.703688370132912e-5,227,132
burbank,15.096543584241184,1.0215015216175072e-4,17,0
flynt's,15.096543584241184,1.0215015216175072e-4,17,0
lumumba,15.096543584241184,1.0215015216175072e-4,17,0
mulan's,15.096543584241184,1.0215015216175072e-4,17,0
sethe,15.096543584241184,1.0215015216175072e-4,17,0
crowe,15.068243479026986,1.0369315594505046e-4,30,5
poignant,15.068243479026986,1.0369315594505046e-4,30,5
hatred,15.063798199951567,1.0393764817417939e-4,20,1
whisperer,15.063798199951567,1.0393764817417939e-4,20,1
complex,15.050714064555542,1.0466065340364317e-4,94,41
coen,14.827075397229628,1.1783161603196035e-4,25,3
debate,14.827075397229628,1.1783161603196035e-4,25,3
fiona,14.827075397229628,1.1783161603196035e-4,25,3
uplifting,14.827075397229628,1.1783161603196035e-4,25,3
simple,14.786120541476448,1.2041854583366707e-4,181,100
german,14.739541117528612,1.234303217372279e-4,44,12
mitchell,14.67124228475857,1.2798412306347373e-4,38,9
alien,14.544996949551015,1.3685156514575691e-4,232,137
edition,14.496686237403003,1.4040631533440706e-4,27,4
unlike,14.486978697544886,1.4113174723640043e-4,113,54
definitely,14.463301634387278,1.4291697109747314e-4,119,58
beau,14.42972314218766,1.454878127233883e-4,22,2
boiler,14.42972314218766,1.454878127233883e-4,22,2
chad,14.42972314218766,1.454878127233883e-4,22,2
touching,14.389296662878284,1.4864481277743202e-4,65,24
musical,14.315553968483636,1.545823350044273e-4,105,49
color,14.213684025432594,1.6317954633715548e-4,63,23
carlito,14.208491413817741,1.636304501397845e-4,16,0
chickens,14.208491413817741,1.636304501397845e-4,16,0
fantasia,14.208491413817741,1.636304501397845e-4,16,0
hen,14.208491413817741,1.636304501397845e-4,16,0
humbert,14.208491413817741,1.636304501397845e-4,16,0
ideals,14.208491413817741,1.636304501397845e-4,16,0
reza,14.208491413817741,1.636304501397845e-4,16,0
scarlett,14.208491413817741,1.636304501397845e-4,16,0
soviet,14.208491413817741,1.636304501397845e-4,16,0
tibbs,14.208491413817741,1.636304501397845e-4,16,0
africans,14.185298735333946,1.6565976999183274e-4,19,1
avoids,14.185298735333946,1.6565976999183274e-4,19,1
unique,14.089462867162997,1.743175886363968e-4,81,34
tucker,14.00637082731594,1.8219227550664296e-4,33,7
birch,13.98679874140508,1.8409869459612427e-4,24,3
hereafter,13.98679874140508,1.8409869459612427e-4,24,3
fits,13.933553057655482,1.893874101496218e-4,37,9
court,13.894508108114714,1.9336264781089074e-4,52,17
edge,13.780570922567073,2.0544998738392106e-4,69,27
raimi,13.677680378978254,2.1701851164324104e-4,26,4
spielberg's,13.677680378978254,2.1701851164324104e-4,26,4
issues,13.610937852921271,2.248715240174004e-4,72,29
films,13.608484097002115,2.251656313269068e-4,879,645
relationship,13.589144683231627,2.2749726216853006e-4,225,134
kenobi,13.570751884935426,2.2973733580355926e-4,21,2
taxi,13.570751884935426,2.2973733580355926e-4,21,2
film,13.523914041605783,2.3554264866043617e-4,4872,4002
small,13.512996711520065,2.3691690678195876e-4,252,154
attorney,13.465876024881709,2.4294170608529786e-4,28,5
courage,13.465876024881709,2.4294170608529786e-4,28,5
chan,13.455608875253512,2.442748066767697e-4,83,36
husband,13.415442560408641,2.495612780842871e-4,146,78
argento's,13.320441767808104,2.625283189402472e-4,15,0
booker,13.320441767808104,2.625283189402472e-4,15,0
boone,13.320441767808104,2.625283189402472e-4,15,0
cal,13.320441767808104,2.625283189402472e-4,15,0
capone,13.320441767808104,2.625283189402472e-4,15,0
jo,13.320441767808104,2.625283189402472e-4,15,0
kaufman,13.320441767808104,2.625283189402472e-4,15,0
niccol,13.320441767808104,2.625283189402472e-4,15,0
shyamalan,13.320441767808104,2.625283189402472e-4,15,0
stephane,13.320441767808104,2.625283189402472e-4,15,0
stephens,13.320441767808104,2.625283189402472e-4,15,0
astounding,13.307807841099157,2.643031927582751e-4,18,1
exotica,13.307807841099157,2.643031927582751e-4,18,1
jerome,13.307807841099157,2.643031927582751e-4,18,1
extremely,13.285677712726304,2.674413373061624e-4,160,88
change,13.254183807598151,2.7197217640861915e-4,134,70
sees,13.245686769426836,2.732077944682665e-4,92,42
fargo,13.244382806270067,2.7339791371427946e-4,32,7
respectively,13.244382806270067,2.7339791371427946e-4,32,7
mood,13.213330004449762,2.7796506222099726e-4,68,27
revolution,13.150200547159926,2.8748847151971457e-4,23,3
stark,13.150200547159926,2.8748847151971457e-4,23,3
tarantino's,13.150200547159926,2.8748847151971457e-4,23,3
faith,13.096758135359782,2.9580724700117855e-4,56,20
contact,12.925166891285617,3.241937496714087e-4,74,31
grease,12.86343981649845,3.3506412763817384e-4,25,4
extraordinary,12.755381488655381,3.54986341064234e-4,43,13
sliding,12.71442750214546,3.6284535297825826e-4,20,2
tracy,12.71442750214546,3.6284535297825826e-4,20,2
everyday,12.672841627017124,3.710052446616041e-4,27,5
toys,12.659555957049013,3.736509482978878e-4,41,12
stunning,12.63123462547932,3.7935454884185926e-4,62,24
mermaid,12.55367896396786,3.9542703774841925e-4,29,6
share,12.50594056169813,4.0566006756703743e-4,78,34
views,12.489033343583442,4.093479544323708e-4,31,7
designer,12.478689955456474,4.1162076306922035e-4,35,9
father,12.468872461465196,4.137897902261045e-4,262,164
nature,12.466347292336733,4.1434955025432263e-4,116,59
marriage,12.45322260573498,4.17271257713292e-4,65,26
frank,12.444193344168182,4.19293336184845e-4,98,47
intense,12.44184763687895,4.198202668044271e-4,60,23
animated,12.43575548977641,4.2119190615308444e-4,110,55
chocolat,12.4323946462015,4.2195053017091144e-4,14,0
griffiths,12.4323946462015,4.2195053017091144e-4,14,0
hilary,12.4323946462015,4.2195053017091144e-4,14,0
kundun,12.4323946462015,4.2195053017091144e-4,14,0
lithgow,12.4323946462015,4.2195053017091144e-4,14,0
lovingly,12.4323946462015,4.2195053017091144e-4,14,0
melancholy,12.4323946462015,4.2195053017091144e-4,14,0
skinhead,12.4323946462015,4.2195053017091144e-4,14,0
tobey,12.4323946462015,4.2195053017091144e-4,14,0
fascination,12.431493191559971,4.2215424474789653e-4,17,1
frances,12.431493191559971,4.2215424474789653e-4,17,1
gump,12.431493191559971,4.2215424474789653e-4,17,1
science,12.34784754915123,4.4149521036251915e-4,139,75
traditional,12.33558808806897,4.4440408141277477e-4,46,15
remarkable,12.319986625228914,4.481339120291361e-4,53,19
top-notch,12.317721926934565,4.486779510740613e-4,22,3
class,12.270091080166127,4.6027580605711993e-4,90,42
rose,12.255218139227606,4.6395891224115804e-4,58,22
details,12.141811019108921,4.930387528320201e-4,82,37
brooks,12.071668211219194,5.119387133734055e-4,56,21
driver,12.059434615778757,5.1530918128051e-4,61,24
men,12.001945735518555,5.314503587504626e-4,312,203
vision,11.994456223180041,5.335904367504973e-4,49,17
destination,11.98121379708126,5.373956840818428e-4,40,12
similar,11.904795205837255,5.598962383802641e-4,122,64
human,11.891074640641959,5.640356969879301e-4,252,158
upper,11.885940807098125,5.655924928461564e-4,26,5
compelling,11.86575217957911,5.717567318218597e-4,59,23
animators,11.861127758093234,5.73178238863381e-4,19,2
fidelity,11.861127758093234,5.73178238863381e-4,19,2
mib,11.861127758093234,5.73178238863381e-4,19,2
osment,11.861127758093234,5.73178238863381e-4,19,2
strongest,11.861127758093234,5.73178238863381e-4,19,2
winter,11.861127758093234,5.73178238863381e-4,19,2
decades,11.815400988570973,5.874277965112196e-4,36,10
dreamworks,11.787049219079377,5.964420039443752e-4,28,6
rare,11.761079004069387,6.048215503755561e-4,67,28
empire,11.735516927230673,6.131855067667003e-4,32,8
emotionally,11.715367558105532,6.19860666475569e-4,52,19
joy,11.694275222476252,6.269268526151173e-4,45,15
remains,11.600562712520885,6.593186705403653e-4,84,39
young,11.577761090032325,6.674525565266709e-4,437,301
christof,11.556561913811176,6.751057179824604e-4,16,1
cinque,11.556561913811176,6.751057179824604e-4,16,1
fashioned,11.556561913811176,6.751057179824604e-4,16,1
jules,11.556561913811176,6.751057179824604e-4,16,1
mills,11.556561913811176,6.751057179824604e-4,16,1
neo,11.556561913811176,6.751057179824604e-4,16,1
reminder,11.556561913811176,6.751057179824604e-4,16,1
slip,11.556561913811176,6.751057179824604e-4,16,1
thematic,11.556561913811176,6.751057179824604e-4,16,1
wen,11.556561913811176,6.751057179824604e-4,16,1
will's,11.556561913811176,6.751057179824604e-4,16,1
trilogy,11.55619157199487,6.752402007530467e-4,43,14
understanding,11.55619157199487,6.752402007530467e-4,43,14
bianca,11.544350048987164,6.79554525828685e-4,13,0
collette,11.544350048987164,6.79554525828685e-4,13,0
horned,11.544350048987164,6.79554525828685e-4,13,0
motta,11.544350048987164,6.79554525828685e-4,13,0
mushu,11.544350048987164,6.79554525828685e-4,13,0
ordell's,11.544350048987164,6.79554525828685e-4,13,0
u-571,11.544350048987164,6.79554525828685e-4,13,0
valjean,11.544350048987164,6.79554525828685e-4,13,0
yeoh,11.544350048987164,6.79554525828685e-4,13,0
chilling,11.489877511911246,6.997624832096871e-4,21,3
effortlessly,11.489877511911246,6.997624832096871e-4,21,3
maintains,11.489877511911246,6.997624832096871e-4,21,3
weir,11.489877511911246,6.997624832096871e-4,21,3
chicken,11.427890852098464,7.234976815038152e-4,41,13
may,11.351795957525034,7.537504440890963e-4,502,353
creates,11.341403142390062,7.579803256186901e-4,71,31
vincent,11.300715817363566,7.747721477283642e-4,53,20
social,11.264165616065707,7.901768990999924e-4,74,33
denzel,11.251371366637935,7.956421014287951e-4,23,4
dramas,11.251371366637935,7.956421014287951e-4,23,4
insurance,11.251371366637935,7.956421014287951e-4,23,4
les,11.251371366637935,7.956421014287951e-4,23,4
dude,11.142148342169902,8.438810097340932e-4,61,25
endearing,11.121248280085283,8.534432957971738e-4,35,10
lies,11.11932161525175,8.543302865733349e-4,83,39
hedwig,11.105786670457531,8.605877761601599e-4,25,5
julianne,11.105786670457531,8.605877761601599e-4,25,5
segments,11.105786670457531,8.605877761601599e-4,25,5
skywalker,11.105786670457531,8.605877761601599e-4,25,5
delivers,11.09429699270943,8.659360405389727e-4,86,41
army,11.071494676802491,8.766498761907382e-4,92,45
initially,11.061329962062093,8.814689269226461e-4,44,15
nevertheless,11.061329962062093,8.814689269226461e-4,44,15
faced,11.054435858753935,8.847526260215011e-4,33,9
ambitious,11.012131612964225,9.051749081032678e-4,31,8
foster,11.012131612964225,9.051749081032678e-4,31,8
happiness,11.012131612964225,9.051749081032678e-4,31,8
malkovich,11.012131612964225,9.051749081032678e-4,31,8
darker,11.01130596991146,9.055781916377237e-4,18,2
mpaa,11.01130596991146,9.055781916377237e-4,18,2
musicals,11.01130596991146,9.055781916377237e-4,18,2
controversial,11.000462104513092,9.10891744512865e-4,29,7
became,10.981935736517,9.200427996423066e-4,75,34
disney's,10.94094931395025,9.406196262676803e-4,49,18
hunting,10.94094931395025,9.406196262676803e-4,49,18
tragedy,10.94094931395025,9.406196262676803e-4,49,18
nicholson,10.914594817785511,9.540958189577786e-4,42,14
light,10.912500589030106,9.551750252280167e-4,121,65
emotions,10.827751662242528,9.99899822376915e-4,70,31
themes,10.80549555706382,0.001011992322804911,62,26
viewer,10.792130762002182,0.001019324835966673,125,68
experiences,10.776847487103728,0.0010277757935833742,40,13
politics,10.776847487103728,0.0010277757935833742,40,13
takes,10.70565211951188,0.0010680873374425692,396,272
conveys,10.683272916723938,0.0010810861869466892,15,1
dread,10.683272916723938,0.0010810861869466892,15,1
kermit,10.683272916723938,0.0010810861869466892,15,1
republic,10.683272916723938,0.0010810861869466892,15,1
scum,10.683272916723938,0.0010810861869466892,15,1
seamless,10.683272916723938,0.0010810861869466892,15,1
weaknesses,10.683272916723938,0.0010810861869466892,15,1
depicted,10.667271434349258,0.001090478581143639,20,3
egoyan,10.667271434349258,0.001090478581143639,20,3
feel-good,10.667271434349258,0.001090478581143639,20,3
goodfellas,10.667271434349258,0.001090478581143639,20,3
gripping,10.667271434349258,0.001090478581143639,20,3
performed,10.667271434349258,0.001090478581143639,20,3
tribute,10.667271434349258,0.001090478581143639,20,3
althea,10.656307976154338,0.001096961416867659,12,0
bubby,10.656307976154338,0.001096961416867659,12,0
bulow,10.656307976154338,0.001096961416867659,12,0
bulworth's,10.656307976154338,0.001096961416867659,12,0
dirk,10.656307976154338,0.001096961416867659,12,0
fa,10.656307976154338,0.001096961416867659,12,0
fellini,10.656307976154338,0.001096961416867659,12,0
fiorentino,10.656307976154338,0.001096961416867659,12,0
gingerbread,10.656307976154338,0.001096961416867659,12,0
ideology,10.656307976154338,0.001096961416867659,12,0
merton,10.656307976154338,0.001096961416867659,12,0
missteps,10.656307976154338,0.001096961416867659,12,0
mm,10.656307976154338,0.001096961416867659,12,0
pixar,10.656307976154338,0.001096961416867659,12,0
pupil,10.656307976154338,0.001096961416867659,12,0
slade,10.656307976154338,0.001096961416867659,12,0
zemeckis,10.656307976154338,0.001096961416867659,12,0
woody,10.61980936259771,0.0011188258122838413,88,43
artist,10.597260956282295,0.0011325531672032874,60,25
heart,10.593852241964688,0.0011346431512198052,161,94
buzz,10.535199072139955,0.0011712226610693932,36,11
innocence,10.535199072139955,0.0011712226610693932,36,11
jar,10.535199072139955,0.0011712226610693932,36,11
maggie,10.535199072139955,0.0011712226610693932,36,11
dream,10.486321043603427,0.0012026159846432183,104,54
drunken,10.437184983394344,0.0012350335707401738,43,15
stories,10.418879348742747,0.0012473356100436428,114,61
ending,10.398331207206887,0.0012612925032826627,256,165
highly,10.393990567361511,0.0012642609535240545,86,42
prisoners,10.35518652770453,0.0012911141877819388,32,9
study,10.346982396609624,0.0012968651520745,48,18
quiet,10.339429166084736,0.001302182767676907,53,21
imaginative,10.333076888682456,0.0013066719717824693,24,5
tad,10.333076888682456,0.0013066719717824693,24,5
henry,10.321591684812628,0.0013148284604906912,69,31
crisis,10.281963542956094,0.0013433691057835873,41,14
ordinary,10.281963542956094,0.0013433691057835873,41,14
unusual,10.281963542956094,0.0013433691057835873,41,14
mulder,10.276566489656695,0.0013473043515935812,26,6
edward,10.27183777732395,0.0013507618690804524,61,26
united,10.27183777732395,0.0013507618690804524,61,26
schindler's,10.268504334546824,0.0013532045963693395,28,7
matt,10.177021064167688,0.0014220173991328355,64,28
affecting,10.165510889920954,0.0014309225821446114,17,2
beavis,10.165510889920954,0.0014309225821446114,17,2
regard,10.165510889920954,0.0014309225821446114,17,2
spencer,10.165510889920954,0.0014309225821446114,17,2
symbol,10.165510889920954,0.0014309225821446114,17,2
venice,10.165510889920954,0.0014309225821446114,17,2
become,10.136882466436148,0.0014533174793176507,306,204
begins,10.085269665858256,0.0014945928820752075,239,153
attacks,9.992072732943367,0.0015721554371919133,44,16
despite,9.969763022271717,0.0015913197280751357,216,136
star,9.967669507265734,0.0015931301813389975,399,277
tony,9.96135732232381,0.001598601542195266,62,27
mike,9.942405856719384,0.0016151431849981135,82,40
ryan,9.929340823182848,0.0016266477721996742,127,71
visual,9.906050951853395,0.001647362273701769,117,64
process,9.883291656078816,0.001667863059823138,65,29
witty,9.883291656078816,0.001667863059823138,65,29
classic,9.87361080605788,0.0016766614095504728,178,108
parker,9.87178743094188,0.0016783238220009489,35,11
beliefs,9.850617668738828,0.001697747464712518,19,3
montana,9.850617668738828,0.001697747464712518,19,3
offbeat,9.850617668738828,0.001697747464712518,19,3
visually,9.850357983019768,0.0016979871398639101,57,24
addresses,9.811954151537947,0.001733811805611829,14,1
groundhog,9.811954151537947,0.001733811805611829,14,1
lang,9.811954151537947,0.001733811805611829,14,1
nosferatu,9.811954151537947,0.001733811805611829,14,1
washington,9.779044509583892,0.001765120166647094,52,21
presented,9.778347789048206,0.0017657891438452866,71,33
beaumarchais,9.768268427692254,0.0017754959412074056,11,0
caraboo,9.768268427692254,0.0017754959412074056,11,0
caveman's,9.768268427692254,0.0017754959412074056,11,0
fail-safe,9.768268427692254,0.0017754959412074056,11,0
fingernail,9.768268427692254,0.0017754959412074056,11,0
gretchen,9.768268427692254,0.0017754959412074056,11,0
henderson,9.768268427692254,0.0017754959412074056,11,0
hrundi,9.768268427692254,0.0017754959412074056,11,0
hulot,9.768268427692254,0.0017754959412074056,11,0
india,9.768268427692254,0.0017754959412074056,11,0
lestat,9.768268427692254,0.0017754959412074056,11,0
mckellar,9.768268427692254,0.0017754959412074056,11,0
meryl,9.768268427692254,0.0017754959412074056,11,0
millie,9.768268427692254,0.0017754959412074056,11,0
motss,9.768268427692254,0.0017754959412074056,11,0
muriel's,9.768268427692254,0.0017754959412074056,11,0
online,9.768268427692254,0.0017754959412074056,11,0
quilt,9.768268427692254,0.0017754959412074056,11,0
seahaven,9.768268427692254,0.0017754959412074056,11,0
streep,9.768268427692254,0.0017754959412074056,11,0
zoolander,9.768268427692254,0.0017754959412074056,11,0
dazzling,9.665561177272913,0.001877544009980081,21,4
kings,9.665561177272913,0.001877544009980081,21,4
maguire,9.665561177272913,0.001877544009980081,21,4
mesmerizing,9.665561177272913,0.001877544009980081,21,4
sincere,9.665561177272913,0.001877544009980081,21,4
carol,9.665380603539479,0.0018777285636978336,31,9
ideal,9.665380603539479,0.0018777285636978336,31,9
succeeds,9.641395568944601,0.0019024064050947587,55,23
balance,9.592073744270655,0.001954191125683624,29,8
bug's,9.592073744270655,0.001954191125683624,29,8
destined,9.592073744270655,0.001954191125683624,29,8
christ,9.568608800731125,0.0019793272032021525,23,5
